participant,brochure_id,age,gender,reason,clicked_item,reaction_time,gaze_x,gaze_y
SYN_015,2,23,male,brand,cadbury,15.031699,0.0923,-0.011873
SYN_015,3,23,male,familiarity,fortune,13.258439,-0.347124,0.02616
SYN_015,4,23,male,price,ambewela,44.744585,-0.486706,0.014766
SYN_015,5,23,male,brand,pelawatteyoghurt,13.227519,-0.414815,0.008522
SYN_016,1,35,Female,brand,goldi,2.307642,-0.444145,0.060181
SYN_016,2,35,Female,price,cadbury,2.067266,-0.168094,0.060138
SYN_016,3,35,Female,price,marina,1.844625,0.174335,-0.019677
SYN_016,4,35,Female,familiarity,kraft,2.408145,0.176187,0.063889
SYN_016,5,35,Female,price,pelawatteyoghurt,1.352219,-0.403175,0.026487
SYN_017,1,49,female,brand,elephanthouse,26.044548,0.480556,0.017509
SYN_017,2,49,female,familiarity,cadbury,3.862828,0.626852,-0.007542
SYN_017,3,49,female,price,fortune,17.734239,-0.23182,-0.076722
SYN_017,4,49,female,brand,kothmale,2.408141,-0.591662,-0.060143
SYN_017,5,49,female,brand,ambewelayoghurt,1.353985,-0.414636,0.006743
SYN_018,1,14,male,familiarity,krest,1.896676,0.426611,0.036989
SYN_018,2,14,male,price,kandos,2.098695,0.597091,0.05319
SYN_018,3,14,male,price,Njoy,2.586784,-0.101776,0.024982
SYN_018,4,14,male,familiarity,ambewela,3.052996,-0.588557,0.059973
SYN_018,5,14,male,price,highlandYoghurt,1.361227,-0.105376,0.028562
SYN_019,1,44,Female,brand,goldi,15.323241,-0.441948,0.049854
SYN_019,2,44,Female,brand,cadbury,2.212159,0.622102,0.049405
SYN_019,3,44,Female,price,marina,4.557779,0.302638,-0.063734
SYN_019,4,44,Female,brand,ambewela,2.408366,-0.475266,-0.029797
SYN_019,5,44,Female,familiarity,pelawatteyoghurt,1.352224,0.124644,0.018953
SYN_020,1,14,male,familiarity,pussalla,8.917886,-0.445369,0.053358
SYN_020,2,14,male,price,cadbury,2.068183,0.315107,0.056953
SYN_020,3,14,male,price,marina,2.04606,0.1747,0.047213
SYN_020,4,14,male,familiarity,kothmale,2.680153,-0.579163,0.00219
SYN_020,5,14,male,price,highlandYoghurt,1.352237,0.338959,0.033662
SYN_021,1,46,female,brand,goldi,22.206408,-0.442398,0.033225
SYN_021,2,46,female,familiarity,cadbury,9.328279,0.602164,0.051225
SYN_021,3,46,female,brand,fortune,9.946418,-0.48482,-0.040041
SYN_021,4,46,female,price,kothmale,2.459051,-0.147808,-0.054018
SYN_021,5,46,female,brand,ambewelayoghurt,1.355125,-0.330076,-0.01853
SYN_022,1,14,male,price,elephanthouse,13.368041,-0.44537,0.002074
SYN_022,2,14,male,brand,revello,2.184032,-0.289796,0.020139
SYN_022,3,14,male,brand,marina,2.017433,0.312943,0.003717
SYN_022,4,14,male,brand,kraft,35.523576,-0.503782,-0.013338
SYN_022,5,14,male,familiarity,highlandYoghurt,3.381141,0.502176,0.033415
SYN_023,1,21,male,brand,krest,29.676493,0.449257,0.059947
SYN_023,2,21,male,price,kandos,2.067187,-0.197383,0.057058
SYN_023,3,21,male,price,marina,19.537166,0.515741,-0.044063
SYN_023,4,21,male,familiarity,kraft,3.290442,-0.590821,-0.013864
SYN_023,5,21,male,price,pelawatteyoghurt,1.352219,0.513889,0.034984
SYN_024,1,49,Female,brand,krest,16.343169,0.480556,-0.003456
SYN_024,2,49,Female,brand,cadbury,6.747576,0.626598,-0.012756
SYN_024,3,49,Female,price,fortune,21.558502,0.389556,-0.05216
SYN_024,4,49,Female,brand,ambewela,3.22782,-0.585152,-0.021155
SYN_024,5,49,Female,brand,pelawatteyoghurt,1.72136,-0.414811,0.008809
SYN_025,1,15,male,brand,goldi,9.923097,-0.444506,-0.065364
SYN_025,2,15,male,brand,revello,4.072913,-0.186402,0.006395
SYN_025,3,15,male,price,fortune,5.626624,-0.366529,-0.063572
SYN_025,4,15,male,price,kothmale,36.505255,-0.588875,0.001114
SYN_025,5,15,male,brand,pelawatteyoghurt,11.381898,0.442717,0.032812
SYN_026,1,46,female,brand,pussalla,3.288064,-0.140863,0.002016
SYN_026,2,46,female,brand,cadbury,16.541276,0.626588,0.023051
SYN_026,3,46,female,brand,fortune,3.747998,-0.412633,-0.034914
SYN_026,4,46,female,brand,kothmale,2.526567,0.328907,0.001896
SYN_026,5,46,female,brand,pelawatteyoghurt,1.535146,-0.414811,-0.044767
SYN_027,1,14,male,brand,goldi,2.054438,-0.43555,0.034986
SYN_027,2,14,male,brand,cadbury,3.274371,-0.297222,0.056144
SYN_027,3,14,male,price,fortune,2.797909,-0.460563,0.045011
SYN_027,4,14,male,brand,kraft,36.006199,-0.474922,0.063889
SYN_027,5,14,male,familiarity,pelawatteyoghurt,1.363386,-0.405102,0.029442
SYN_028,1,15,Female,price,goldi,7.747688,-0.432509,0.035054
SYN_028,2,15,Female,familiarity,kandos,2.135145,0.273815,0.059949
SYN_028,3,15,Female,price,marina,6.058837,-0.33859,0.001853
SYN_028,4,15,Female,price,ambewela,2.495503,-0.589711,-0.018845
SYN_028,5,15,Female,familiarity,ambewelayoghurt,1.380577,0.511507,0.030995
SYN_029,1,31,male,brand,goldi,8.928058,0.316786,0.048031
SYN_029,2,31,male,familiarity,kandos,2.102096,-0.237088,0.059751
SYN_029,3,31,male,price,marina,12.999271,-0.173007,0.017561
SYN_029,4,31,male,price,kothmale,4.285996,-0.591223,0.011404
SYN_029,5,31,male,familiarity,ambewelayoghurt,1.352424,0.07568,0.0338
SYN_030,1,14,female,price,goldi,5.763242,0.168786,0.05975
SYN_030,2,14,female,brand,kandos,2.307875,0.466519,0.060137
SYN_030,3,14,female,price,fortune,6.956231,-0.513184,0.036178
SYN_030,4,14,female,familiarity,kraft,2.412142,-0.399281,0.020233
SYN_030,5,14,female,price,pelawatteyoghurt,1.352219,-0.4098,0.005282
SYN_031,1,14,male,familiarity,pussalla,15.127971,-0.355749,0.055436
SYN_031,2,14,male,price,kandos,2.071581,0.568293,0.057808
SYN_031,3,14,male,brand,marina,3.857727,0.329551,-0.015314
SYN_031,4,14,male,familiarity,ambewela,2.450514,-0.537271,-0.034954
SYN_031,5,14,male,price,pelawatteyoghurt,1.353043,0.513889,0.024501
SYN_032,1,14,male,familiarity,elephanthouse,2.322769,-0.425759,-0.084393
SYN_032,2,14,male,brand,cadbury,6.338217,-0.038534,0.017839
SYN_032,3,14,male,familiarity,fortune,2.788675,-0.5148,-0.028607
SYN_032,4,14,male,brand,ambewela,43.80653,-0.543277,0.044893
SYN_032,5,14,male,brand,highlandYoghurt,2.641546,-0.129818,0.022046
SYN_033,1,14,male,brand,krest,31.462784,0.480556,0.047609
SYN_033,2,14,male,price,kandos,3.441042,0.267069,0.012725
SYN_033,3,14,male,price,Njoy,28.866624,0.466084,-0.011804
SYN_033,4,14,male,familiarity,kraft,33.105394,-0.578573,-0.04605
SYN_033,5,14,male,familiarity,highlandYoghurt,3.41538,0.311945,0.022693
SYN_034,1,14,male,brand,goldi,1.738896,-0.44537,-0.116228
SYN_034,2,14,male,familiarity,ritzbury,4.791008,0.060181,-0.001237
SYN_034,3,14,male,price,fortune,1.766578,-0.513569,0.001394
SYN_034,4,14,male,brand,kraft,28.632575,-0.584858,0.062906
SYN_034,5,14,male,brand,highlandYoghurt,7.629407,-0.402441,0.031212
SYN_035,1,47,male,brand,krest,29.893136,0.427548,-0.136268
SYN_035,2,47,male,brand,cadbury,9.997045,0.608205,-0.042558
SYN_035,3,47,male,brand,fortune,28.642434,0.515741,-0.017759
SYN_035,4,47,male,price,ambewela,35.063743,-0.591631,-0.047998
SYN_035,5,47,male,brand,highlandYoghurt,29.486317,-0.414199,0.030934
SYN_036,1,14,male,familiarity,elephanthouse,6.399663,0.028242,0.050155
SYN_036,2,14,male,brand,kandos,2.491556,0.156432,0.05688
SYN_036,3,14,male,brand,fortune,9.75813,-0.514498,-0.053746
SYN_036,4,14,male,familiarity,ambewela,4.325718,-0.538287,0.054745
SYN_036,5,14,male,brand,highlandYoghurt,1.352219,-0.283435,0.025852
SYN_037,1,39,Female,brand,elephanthouse,13.402319,-0.007304,0.030294
SYN_037,2,39,Female,brand,cadbury,4.540668,0.551212,0.028774
SYN_037,3,39,Female,brand,marina,4.775514,0.033419,0.018409
SYN_037,4,39,Female,brand,kraft,3.826622,-0.361268,-0.051318
SYN_037,5,39,Female,price,pelawatteyoghurt,1.500695,-0.409555,-0.007228
SYN_038,1,36,male,brand,krest,21.219815,0.374087,-0.15
SYN_038,2,36,male,brand,revello,20.866013,0.624419,-0.041285
SYN_038,3,36,male,familiarity,fortune,20.456521,0.183853,-0.044
SYN_038,4,36,male,price,ambewela,41.35878,-0.43136,-0.039618
SYN_038,5,36,male,brand,highlandYoghurt,29.611546,-0.413286,-0.022641
SYN_039,1,16,male,brand,elephanthouse,5.082977,-0.238888,0.054587
SYN_039,2,16,male,price,kandos,2.073784,-0.172786,0.056537
SYN_039,3,16,male,price,marina,3.899081,-0.276847,-0.079131
SYN_039,4,16,male,brand,kothmale,3.769459,-0.544718,0.044747
SYN_039,5,16,male,familiarity,pelawatteyoghurt,1.35222,0.513889,0.031987
SYN_040,1,14,male,familiarity,elephanthouse,7.602279,-0.445332,0.051029
SYN_040,2,14,male,brand,cadbury,3.390597,-0.085322,0.059611
SYN_040,3,14,male,familiarity,Njoy,4.167587,0.321252,0.052454
SYN_040,4,14,male,brand,kothmale,8.520657,-0.041135,0.052935
SYN_040,5,14,male,price,highlandYoghurt,1.595786,0.084841,0.015126
SYN_041,1,14,male,price,goldi,6.065627,0.429978,-0.017443
SYN_041,2,14,male,familiarity,cadbury,2.594744,-0.04712,0.053604
SYN_041,3,14,male,price,fortune,14.850528,-0.511588,0.047717
SYN_041,4,14,male,price,ambewela,26.937657,-0.591666,0.018341
SYN_041,5,14,male,brand,ambewelayoghurt,1.65717,-0.401724,0.034412
SYN_042,1,49,Female,brand,krest,27.023256,0.378094,0.025967
SYN_042,2,49,Female,brand,cadbury,7.478716,0.626622,-0.007116
SYN_042,3,49,Female,price,fortune,15.466116,-0.352996,-0.07504
SYN_042,4,49,Female,familiarity,ambewela,2.631349,-0.421226,-0.056832
SYN_042,5,49,Female,brand,highlandYoghurt,1.354142,-0.402086,-0.015461
SYN_043,1,15,Female,price,krest,16.86512,0.480556,-0.130723
SYN_043,2,15,Female,brand,cadbury,14.525868,0.626852,-0.035994
SYN_043,3,15,Female,brand,fortune,16.092395,0.50916,0.010731
SYN_043,4,15,Female,price,ambewela,9.055844,-0.58972,-0.048718
SYN_043,5,15,Female,familiarity,highlandYoghurt,29.624289,-0.367974,-0.009698
SYN_044,1,22,Female,price,krest,5.54566,-0.396309,0.047229
SYN_044,2,22,Female,price,cadbury,5.554143,0.607092,0.030924
SYN_044,3,22,Female,brand,fortune,3.076798,-0.426421,-0.066406
SYN_044,4,22,Female,familiarity,kothmale,2.579027,0.300847,0.028409
SYN_044,5,22,Female,familiarity,highlandYoghurt,1.35222,-0.408543,-0.019566
SYN_045,1,38,Female,brand,goldi,28.933492,-0.442093,-0.024916
SYN_045,2,38,Female,brand,cadbury,2.101644,0.626276,0.00767
SYN_045,3,38,Female,price,marina,9.133036,0.515741,-0.018479
SYN_045,4,38,Female,price,ambewela,2.45287,-0.591665,-0.059263
SYN_045,5,38,Female,familiarity,ambewelayoghurt,25.526513,0.510074,0.034337
SYN_046,1,15,male,familiarity,goldi,17.002819,0.451366,0.060181
SYN_046,2,15,male,price,kandos,2.078173,-0.279144,0.060182
SYN_046,3,15,male,familiarity,marina,19.451538,0.271284,0.045058
SYN_046,4,15,male,familiarity,kothmale,2.554908,0.006597,0.063889
SYN_046,5,15,male,price,pelawatteyoghurt,1.352219,-0.40844,0.023835
SYN_047,1,34,male,brand,unknown,18.604636,-0.209889,0.014064
SYN_047,2,34,male,price,cadbury,2.187982,0.356225,-0.006034
SYN_047,3,34,male,price,marina,5.38042,0.514632,-0.034694
SYN_047,4,34,male,brand,kraft,8.602392,-0.589927,-0.044494
SYN_047,5,34,male,familiarity,pelawatteyoghurt,3.533626,0.13303,0.031887
SYN_048,1,27,Female,brand,krest,16.399959,0.470621,0.011859
SYN_048,2,27,Female,price,cadbury,6.887887,0.602145,0.01925
SYN_048,3,27,Female,brand,fortune,17.040084,-0.047815,-0.060158
SYN_048,4,27,Female,brand,kothmale,8.307826,-0.538218,-0.010173
SYN_048,5,27,Female,brand,highlandYoghurt,2.812945,-0.111448,0.006229
SYN_049,1,15,male,brand,unknown,21.690514,-0.296989,-0.123555
SYN_049,2,15,male,brand,cadbury,16.444664,-0.143862,-0.024647
SYN_049,3,15,male,familiarity,fortune,18.111284,-0.069307,-0.067002
SYN_049,4,15,male,price,ambewela,52.426585,-0.455386,-0.010349
SYN_049,5,15,male,brand,highlandYoghurt,29.473624,0.389137,0.013544
SYN_050,1,14,male,price,elephanthouse,8.710864,-0.443055,0.028462
SYN_050,2,14,male,brand,cadbury,4.50887,0.48421,0.050936
SYN_050,3,14,male,brand,fortune,4.571166,-0.212995,-0.028414
SYN_050,4,14,male,brand,kothmale,3.694273,-0.237565,0.00811
SYN_050,5,14,male,familiarity,pelawatteyoghurt,1.474013,0.299786,0.005948
SYN_051,1,14,Female,brand,krest,5.750257,-0.440753,-0.15
SYN_051,2,14,Female,familiarity,ritzbury,15.636452,0.137103,-0.033657
SYN_051,3,14,Female,price,fortune,3.616883,-0.514775,0.019985
SYN_051,4,14,Female,brand,richlife,52.806364,-0.591583,-0.04471
SYN_051,5,14,Female,brand,highlandYoghurt,29.599192,-0.292097,0.023251
SYN_052,1,14,Female,price,unknown,10.177152,-0.369042,-0.058146
SYN_052,2,14,Female,brand,cadbury,4.952149,0.562659,0.027936
SYN_052,3,14,Female,price,fortune,6.057755,-0.078962,0.044725
SYN_052,4,14,Female,price,kraft,25.003955,-0.591404,-0.037188
SYN_052,5,14,Female,familiarity,highlandYoghurt,29.319144,0.419629,0.025683
SYN_053,1,30,Female,brand,krest,6.855333,0.480556,0.013154
SYN_053,2,30,Female,brand,kandos,4.485917,0.625189,0.041444
SYN_053,3,30,Female,price,fortune,23.329482,-0.44241,-0.003167
SYN_053,4,30,Female,brand,ambewela,4.32401,-0.591626,0.009205
SYN_053,5,30,Female,brand,pelawatteyoghurt,1.542968,-0.413766,0.019245
SYN_054,1,15,Female,brand,goldi,4.44803,-0.406135,-0.126817
SYN_054,2,15,Female,familiarity,revello,7.024436,0.626557,0.013918
SYN_054,3,15,Female,price,fortune,4.732832,0.048506,-0.007456
SYN_054,4,15,Female,price,ambewela,4.712638,-0.591417,-0.026058
SYN_054,5,15,Female,brand,pelawatteyoghurt,29.461091,0.273717,0.022089
SYN_055,1,14,male,familiarity,unknown,5.066774,0.380386,0.048053
SYN_055,2,14,male,price,kandos,2.106623,0.331382,0.057397
SYN_055,3,14,male,brand,Njoy,12.290183,0.439774,0.010488
SYN_055,4,14,male,familiarity,ambewela,3.858568,-0.588321,0.063889
SYN_055,5,14,male,familiarity,highlandYoghurt,1.352633,-0.126453,0.033856
SYN_056,1,14,male,brand,goldi,2.641687,-0.442661,-0.142529
SYN_056,2,14,male,familiarity,revello,15.699918,0.602715,0.014936
SYN_056,3,14,male,brand,fortune,3.142374,-0.511237,-0.0417
SYN_056,4,14,male,price,ambewela,24.195999,-0.513282,-0.005609
SYN_056,5,14,male,brand,pelawatteyoghurt,29.472094,0.440493,-0.00589
SYN_057,1,14,male,price,goldi,25.448305,-0.423765,0.045503
SYN_057,2,14,male,brand,cadbury,2.068122,0.567783,0.051598
SYN_057,3,14,male,price,marina,7.668597,0.515741,0.037205
SYN_057,4,14,male,brand,ambewela,2.461079,-0.591578,-0.048843
SYN_057,5,14,male,price,pelawatteyoghurt,1.461624,0.462925,0.034528
SYN_058,1,47,male,brand,goldi,18.621472,0.151607,0.03944
SYN_058,2,47,male,brand,cadbury,12.52533,0.270375,0.038082
SYN_058,3,47,male,familiarity,Njoy,13.063172,-0.474979,-0.009624
SYN_058,4,47,male,brand,kothmale,6.990852,0.314859,-0.030364
SYN_058,5,47,male,familiarity,pelawatteyoghurt,1.352264,-0.414814,-0.030355
SYN_059,1,14,Female,price,krest,7.136112,-0.182777,-0.15
SYN_059,2,14,Female,familiarity,ritzbury,21.245659,0.626852,-0.04537
SYN_059,3,14,Female,brand,fortune,4.493567,-0.444212,0.037287
SYN_059,4,14,Female,price,ambewela,41.481885,-0.575397,-0.055355
SYN_059,5,14,Female,brand,anchoryoghurt,29.625986,-0.414389,-0.031561
SYN_060,1,14,Female,familiarity,pussalla,26.609365,0.349648,0.028939
SYN_060,2,14,Female,brand,kandos,10.34963,0.569143,0.052547
SYN_060,3,14,Female,familiarity,fortune,20.557874,-0.110817,0.050752
SYN_060,4,14,Female,brand,kothmale,11.99749,-0.342832,-0.052873
SYN_060,5,14,Female,price,pelawatteyoghurt,10.190284,-0.321707,-0.019784
SYN_061,1,15,Female,brand,goldi,6.142863,-0.445369,-0.066073
SYN_061,2,15,Female,familiarity,ritzbury,5.770143,0.620073,-0.005199
SYN_061,3,15,Female,price,fortune,1.951229,-0.50839,-0.060401
SYN_061,4,15,Female,brand,ambewela,3.785646,-0.502349,-0.048733
SYN_061,5,15,Female,brand,highlandYoghurt,2.671244,-0.023873,0.006326
SYN_062,1,14,male,brand,unknown,1.993494,-0.410854,-0.097594
SYN_062,2,14,male,brand,cadbury,15.610205,0.234462,0.020906
SYN_062,3,14,male,brand,fortune,2.709087,-0.511283,-0.021927
SYN_062,4,14,male,price,kraft,44.431154,-0.34469,0.040855
SYN_062,5,14,male,brand,highlandYoghurt,29.18399,0.390391,-0.008696
SYN_063,1,14,male,familiarity,goldi,10.512026,-0.359433,0.018341
SYN_063,2,14,male,brand,cadbury,2.166074,0.381447,0.052085
SYN_063,3,14,male,price,fortune,7.821353,-0.155233,0.053112
SYN_063,4,14,male,brand,ambewela,5.337887,-0.591644,-0.000819
SYN_063,5,14,male,familiarity,pelawatteyoghurt,1.363287,-0.414508,0.034244
SYN_064,1,14,male,brand,goldi,3.323544,-0.434087,-0.15
SYN_064,2,14,male,familiarity,ritzbury,17.474481,0.013448,-0.033139
SYN_064,3,14,male,familiarity,fortune,4.487658,-0.476401,-0.015563
SYN_064,4,14,male,price,ambewela,51.836502,-0.551982,0.018428
SYN_064,5,14,male,brand,pelawatteyoghurt,29.540102,-0.411392,0.016616
SYN_065,1,48,male,brand,goldi,27.252604,0.309986,0.055893
SYN_065,2,48,male,brand,kandos,2.162127,0.361504,0.055733
SYN_065,3,48,male,brand,marina,19.443964,0.515741,-0.00422
SYN_065,4,48,male,price,ambewela,2.464118,-0.516031,-0.031568
SYN_065,5,48,male,price,ambewelayoghurt,1.35234,-0.214708,0.025396
SYN_066,1,15,male,brand,elephanthouse,13.61447,-0.31483,-0.001796
SYN_066,2,15,male,brand,cadbury,5.011155,0.256013,0.031745
SYN_066,3,15,male,brand,fortune,10.761113,-0.314876,-0.033919
SYN_066,4,15,male,brand,kothmale,15.573579,-0.559596,0.002894
SYN_066,5,15,male,brand,pelawatteyoghurt,1.967917,-0.094473,0.023334
SYN_067,1,27,male,brand,elephanthouse,8.70376,-0.051287,0.034352
SYN_067,2,27,male,brand,cadbury,2.881103,0.451834,0.035385
SYN_067,3,27,male,brand,Njoy,4.703833,-0.483127,-0.039246
SYN_067,4,27,male,familiarity,kothmale,3.698407,-0.468885,-0.021876
SYN_067,5,27,male,familiarity,pelawatteyoghurt,1.352229,-0.400619,0.011872
SYN_068,1,14,Female,brand,goldi,2.191808,-0.445366,-0.07427
SYN_068,2,14,Female,familiarity,ritzbury,11.563885,0.616174,0.021495
SYN_068,3,14,Female,brand,fortune,1.850495,-0.483666,-0.02826
SYN_068,4,14,Female,price,kothmale,4.629869,-0.14005,-0.008916
SYN_068,5,14,Female,brand,pelawatteyoghurt,18.06633,-0.053089,-0.017499
SYN_069,1,15,Female,price,goldi,6.21237,0.175083,0.054043
SYN_069,2,15,Female,brand,kandos,2.110106,0.563106,0.059397
SYN_069,3,15,Female,brand,marina,5.860776,0.462389,0.050227
SYN_069,4,15,Female,brand,kothmale,2.430076,-0.571984,0.015929
SYN_069,5,15,Female,price,ambewelayoghurt,1.353576,-0.347967,0.025352
SYN_070,1,45,male,brand,pussalla,31.496569,0.105939,0.018736
SYN_070,2,45,male,brand,cadbury,7.321671,-0.161169,0.000909
SYN_070,3,45,male,price,Njoy,28.7935,0.375283,-0.033496
SYN_070,4,45,male,brand,kraft,34.70402,-0.557561,-0.047318
SYN_070,5,45,male,brand,pelawatteyoghurt,2.397261,-0.386285,0.025089
SYN_071,1,14,male,brand,pussalla,6.846517,-0.445354,-0.055059
SYN_071,2,14,male,brand,revello,7.326572,0.297484,0.004077
SYN_071,3,14,male,brand,fortune,2.395589,-0.482335,-0.059744
SYN_071,4,14,male,brand,kothmale,25.933975,-0.396729,-0.021121
SYN_071,5,14,male,brand,highlandYoghurt,15.146428,0.486151,0.009875
SYN_072,1,26,male,price,unknown,7.152431,-0.35642,-0.055409
SYN_072,2,26,male,price,cadbury,3.792061,0.618362,-0.023616
SYN_072,3,26,male,brand,Njoy,3.882351,0.366592,-0.05735
SYN_072,4,26,male,brand,ambewela,5.661125,-0.548309,0.009699
SYN_072,5,26,male,brand,highlandYoghurt,2.515193,-0.404081,0.02275
SYN_073,1,29,male,price,goldi,4.896069,0.269862,0.034922
SYN_073,2,29,male,familiarity,kandos,2.371518,0.119738,0.058578
SYN_073,3,29,male,brand,Njoy,9.620825,-0.444505,-0.007333
SYN_073,4,29,male,price,ambewela,3.133742,-0.580272,0.030724
SYN_073,5,29,male,familiarity,ambewelayoghurt,1.35225,-0.343774,0.028098
SYN_074,1,19,Female,price,unknown,20.150616,0.472441,0.037745
SYN_074,2,19,Female,brand,cadbury,2.240685,0.610762,0.045589
SYN_074,3,19,Female,price,fortune,21.752125,0.274417,-0.019794
SYN_074,4,19,Female,brand,ambewela,2.900831,-0.591642,-0.002525
SYN_074,5,19,Female,brand,pelawatteyoghurt,1.367609,-0.124331,0.032878
